Node ID,Node Coordinates,Contour(Displacement)
,,
3007,-200 -28.6 -1.64185E-18,-1.64E-18
10589,-199 -28.6 -0.000128587,-1.29E-04
10583,-198 -28.6 -0.000404251,-4.04E-04
10569,-197 -28.6 -0.000822347,-8.22E-04
10612,-196 -28.6 -0.00137899,-1.38E-03
10606,-195 -28.6 -0.0020709,-2.07E-03
10419,-194 -28.6 -0.00289535,-2.90E-03
10488,-193 -28.6 -0.00385004,-3.85E-03
10482,-192 -28.6 -0.00493306,-4.93E-03
10468,-191 -28.6 -0.00614283,-6.14E-03
10511,-190 -28.6 -0.00747806,-7.48E-03
10505,-189 -28.6 -0.00893769,-8.94E-03
10355,-188 -28.6 -0.0105208,-1.05E-02
11087,-187 -28.6 -0.0122268,-1.22E-02
11081,-186 -28.6 -0.0140551,-1.41E-02
11067,-185 -28.6 -0.0160052,-1.60E-02
11116,-184 -28.6 -0.0180768,-1.81E-02
11106,-183 -28.6 -0.0202696,-2.03E-02
11111,-182 -28.6 -0.0225834,-2.26E-02
10908,-181 -28.6 -0.0250178,-2.50E-02
10977,-180 -28.6 -0.0275729,-2.76E-02
10971,-179 -28.6 -0.0302484,-3.03E-02
10957,-178 -28.6 -0.0330442,-3.30E-02
11000,-177 -28.6 -0.0359601,-3.60E-02
10994,-176 -28.6 -0.0389961,-3.90E-02
7264,-175 -28.6 -0.0421519,-4.22E-02
8521,-174 -28.6 -0.0454275,-4.54E-02
8515,-173 -28.6 -0.0488226,-4.88E-02
8501,-172 -28.6 -0.0523372,-5.23E-02
8544,-171 -28.6 -0.055971,-5.60E-02
8538,-170 -28.6 -0.0597238,-5.97E-02
8351,-169 -28.6 -0.0635955,-6.36E-02
8420,-168 -28.6 -0.0675858,-6.76E-02
8414,-167 -28.6 -0.0716945,-7.17E-02
8400,-166 -28.6 -0.0759213,-7.59E-02
8443,-165 -28.6 -0.080266,-8.03E-02
8437,-164 -28.6 -0.0847283,-8.47E-02
8287,-163 -28.6 -0.0893078,-8.93E-02
9019,-162 -28.6 -0.0940043,-9.40E-02
9013,-161 -28.6 -0.0988174,-9.88E-02
8999,-160 -28.6 -0.103747,-1.04E-01
9048,-159 -28.6 -0.108792,-1.09E-01
9038,-158 -28.6 -0.113953,-1.14E-01
9043,-157 -28.6 -0.119229,-1.19E-01
8840,-156 -28.6 -0.12462,-1.25E-01
8909,-155 -28.6 -0.130125,-1.30E-01
8903,-154 -28.6 -0.135745,-1.36E-01
8889,-153 -28.6 -0.141477,-1.42E-01
8932,-152 -28.6 -0.147323,-1.47E-01
8926,-151 -28.6 -0.153282,-1.53E-01
2793,-150 -28.6 -0.159352,-1.59E-01
35490,-149 -28.6 -0.165534,-1.66E-01
35496,-148 -28.6 -0.171827,-1.72E-01
35463,-147 -28.6 -0.178231,-1.78E-01
35476,-146 -28.6 -0.184745,-1.85E-01
35423,-145 -28.6 -0.191369,-1.91E-01
35572,-144 -28.6 -0.198102,-1.98E-01
35578,-143 -28.6 -0.204943,-2.05E-01
35545,-142 -28.6 -0.211892,-2.12E-01
35558,-141 -28.6 -0.218949,-2.19E-01
35005,-140 -28.6 -0.226112,-2.26E-01
35125,-139 -28.6 -0.233382,-2.33E-01
35114,-138 -28.6 -0.240757,-2.41E-01
35120,-137 -28.6 -0.248238,-2.48E-01
35063,-136 -28.6 -0.255823,-2.56E-01
35193,-135 -28.6 -0.263512,-2.64E-01
35199,-134 -28.6 -0.271304,-2.71E-01
35166,-133 -28.6 -0.279199,-2.79E-01
35179,-132 -28.6 -0.287195,-2.87E-01
34234,-131 -28.6 -0.295294,-2.95E-01
37048,-130 -28.6 -0.303493,-3.04E-01
37054,-129 -28.6 -0.311792,-3.12E-01
37021,-128 -28.6 -0.32019,-3.20E-01
37034,-127 -28.6 -0.328688,-3.29E-01
36981,-126 -28.6 -0.337283,-3.37E-01
37130,-125 -28.6 -0.345977,-3.46E-01
37136,-124 -28.6 -0.354766,-3.55E-01
37103,-123 -28.6 -0.363652,-3.64E-01
37116,-122 -28.6 -0.372634,-3.73E-01
36563,-121 -28.6 -0.38171,-3.82E-01
36683,-120 -28.6 -0.390881,-3.91E-01
36672,-119 -28.6 -0.400145,-4.00E-01
36678,-118 -28.6 -0.409502,-4.10E-01
36621,-117 -28.6 -0.41895,-4.19E-01
36751,-116 -28.6 -0.42849,-4.29E-01
36757,-115 -28.6 -0.438121,-4.38E-01
36724,-114 -28.6 -0.447842,-4.48E-01
36737,-113 -28.6 -0.457652,-4.58E-01
24845,-112 -28.6 -0.46755,-4.68E-01
29217,-111 -28.6 -0.477536,-4.78E-01
29206,-110 -28.6 -0.48761,-4.88E-01
29212,-109 -28.6 -0.497769,-4.98E-01
29155,-108 -28.6 -0.508015,-5.08E-01
29285,-107 -28.6 -0.518345,-5.18E-01
29291,-106 -28.6 -0.52876,-5.29E-01
29258,-105 -28.6 -0.539258,-5.39E-01
29271,-104 -28.6 -0.549838,-5.50E-01
28739,-103 -28.6 -0.560501,-5.61E-01
28859,-102 -28.6 -0.571245,-5.71E-01
28848,-101 -28.6 -0.58207,-5.82E-01
28854,-100 -28.6 -0.592974,-5.93E-01
28797,-99 -28.6 -0.603958,-6.04E-01
28927,-98 -28.6 -0.615019,-6.15E-01
28933,-97 -28.6 -0.626159,-6.26E-01
28900,-96 -28.6 -0.637375,-6.37E-01
28913,-95 -28.6 -0.648667,-6.49E-01
28010,-94 -28.6 -0.660035,-6.60E-01
30739,-93 -28.6 -0.671477,-6.72E-01
30745,-92 -28.6 -0.682993,-6.83E-01
