Node ID,Node Coordinates,Contour(Displacement)
,,
3007,-228.6,-4.68E-18
10589,-227.6003721,-3.72E-04
10583,-226.6011088,-1.11E-03
10569,-225.6021982,-2.20E-03
10612,-224.60363,-3.63E-03
10606,-223.6053956,-5.40E-03
10419,-222.6074874,-7.49E-03
10488,-221.6098993,-9.90E-03
10482,-220.612626,-1.26E-02
10468,-219.6156635,-1.57E-02
10511,-218.6190084,-1.90E-02
10505,-217.6226582,-2.27E-02
10355,-216.6266109,-2.66E-02
11087,-215.6308652,-3.09E-02
11081,-214.6354199,-3.54E-02
11067,-213.6402745,-4.03E-02
11116,-212.6454285,-4.54E-02
11106,-211.6508818,-5.09E-02
11111,-210.6566344,-5.66E-02
10908,-209.6626862,-6.27E-02
10977,-208.6690375,-6.90E-02
10971,-207.6756884,-7.57E-02
10957,-206.6826391,-8.26E-02
11000,-205.6898898,-8.99E-02
10994,-204.6974407,-9.74E-02
7264,-203.705292,-1.05E-01
8521,-202.713444,-1.13E-01
8515,-201.721896,-1.22E-01
8501,-200.730649,-1.31E-01
8544,-199.739702,-1.40E-01
8538,-198.749056,-1.49E-01
8351,-197.75871,-1.59E-01
8420,-196.768664,-1.69E-01
8414,-195.778918,-1.79E-01
8400,-194.789472,-1.90E-01
8443,-193.800325,-2.00E-01
8437,-192.811477,-2.12E-01
8287,-191.822927,-2.23E-01
9019,-190.834675,-2.35E-01
9013,-189.846721,-2.47E-01
8999,-188.859063,-2.59E-01
9048,-187.871702,-2.72E-01
9038,-186.884636,-2.85E-01
9043,-185.897864,-2.98E-01
8840,-184.911387,-3.11E-01
8909,-183.925202,-3.25E-01
8903,-182.93931,-3.39E-01
8889,-181.953709,-3.54E-01
8932,-180.968399,-3.68E-01
8926,-179.983378,-3.83E-01
2793,-178.998646,-3.99E-01
35490,-178.0142,-4.14E-01
35496,-177.030042,-4.30E-01
35463,-176.046168,-4.46E-01
35476,-175.062578,-4.63E-01
35423,-174.079271,-4.79E-01
35572,-173.096246,-4.96E-01
35578,-172.113501,-5.14E-01
35545,-171.131036,-5.31E-01
35558,-170.148848,-5.49E-01
35005,-169.166937,-5.67E-01
35125,-168.185301,-5.85E-01
35114,-167.203939,-6.04E-01
35120,-166.222849,-6.23E-01
35063,-165.24203,-6.42E-01
35193,-164.261481,-6.62E-01
35199,-163.2812,-6.81E-01
35166,-162.301185,-7.01E-01
35179,-161.321436,-7.21E-01
34234,-160.34195,-7.42E-01
37048,-159.362726,-7.63E-01
37054,-158.383763,-7.84E-01
37021,-157.405059,-8.05E-01
37034,-156.426612,-8.27E-01
36981,-155.44842,-8.48E-01
37130,-154.470483,-8.71E-01
37136,-153.492798,-8.93E-01
37103,-152.515364,-9.15E-01
37116,-151.53818,-9.38E-01
36563,-150.561242,-9.61E-01
36683,-149.58455,-9.85E-01
36672,-148.6081,-1.01E+00
36678,-147.6319,-1.03E+00
36621,-146.65593,-1.06E+00
36751,-145.68021,-1.08E+00
36757,-144.70472,-1.11E+00
36724,-143.72946,-1.13E+00
36737,-142.75444,-1.15E+00
24845,-141.77966,-1.18E+00
29217,-140.8051,-1.21E+00
29206,-139.83077,-1.23E+00
29212,-138.85666,-1.26E+00
29155,-137.88278,-1.28E+00
29285,-136.90913,-1.31E+00
29291,-135.93569,-1.34E+00
29258,-134.96247,-1.36E+00
29271,-133.98947,-1.39E+00
28739,-133.01669,-1.42E+00
28859,-132.04412,-1.44E+00
28848,-131.07176,-1.47E+00
28854,-130.09961,-1.50E+00
28797,-129.12766,-1.53E+00
28927,-128.15593,-1.56E+00
28933,-127.18439,-1.58E+00
28900,-126.21306,-1.61E+00
28913,-125.24193,-1.64E+00
28010,-124.271,-1.67E+00
30739,-123.30026,-1.70E+00
30745,-122.32972,-1.73E+00
30712,-121.35937,-1.76E+00
30725,-120.38921,-1.79E+00
30672,-119.41924,-1.82E+00
30821,-118.44946,-1.85E+00
30827,-117.47986,-1.88E+00
30794,-116.51044,-1.91E+00
30807,-115.54121,-1.94E+00
30254,-114.57215,-1.97E+00
30374,-113.60327,-2.00E+00
30363,-112.63457,-2.04E+00
30369,-111.66604,-2.07E+00
30312,-110.69768,-2.10E+00
30442,-109.72949,-2.13E+00
30448,-108.76146,-2.16E+00
30415,-107.7936,-2.19E+00
30428,-106.82591,-2.23E+00
12170,-105.85837,-2.26E+00
22928,-104.891,-2.29E+00
22934,-103.92378,-2.32E+00
22901,-102.95672,-2.36E+00
22914,-101.98981,-2.39E+00
22861,-101.02306,-2.42E+00
23010,-100.05645,-2.46E+00
23016,-99.08999,-2.49E+00
22983,-98.12368,-2.52E+00
22996,-97.15751,-2.56E+00
22443,-96.19148,-2.59E+00
22563,-95.22559,-2.63E+00
22552,-94.25984,-2.66E+00
22558,-93.29423,-2.69E+00
22501,-92.32875,-2.73E+00
22631,-91.3634,-2.76E+00
22637,-90.39818,-2.80E+00
22604,-89.43309,-2.83E+00
22617,-88.46813,-2.87E+00
21672,-87.50329,-2.90E+00
24486,-86.53857,-2.94E+00
